course_id,course_name,teacher_id
C001,体育3,T076
C002,人工智能概论4,T020
C003,心理健康5,T062
C004,音乐3,T071
C005,创新思维5,T049
C006,心理健康3,T025
C007,形体与健康2,T074
C008,信息技术2,T100
C009,通用技术1,T041
C010,社会实践4,T091
C011,信息技术4,T085
C012,哲学基础2,T064
C013,数学2,T065
C014,人工智能概论3,T013
C015,心理健康1,T068
C016,心理健康1,T093
C017,化学4,T084
C018,化学1,T061
C019,政治3,T080
C020,形体与健康4,T084
C021,英语3,T087
C022,数据科学基础4,T041
C023,哲学基础4,T070
C024,数学5,T009
C025,地理3,T030
C026,社会实践1,T056
C027,物理1,T057
C028,生物3,T004
C029,数学3,T008
C030,体育3,T048
C031,通用技术2,T032
C032,编程入门4,T073
C033,艺术鉴赏2,T022
C034,生物1,T079
C035,信息技术5,T088
C036,地理4,T075
C037,化学2,T060
C038,哲学基础3,T059
C039,政治1,T060
C040,体育5,T021
C041,英语4,T045
C042,人工智能概论3,T082
C043,通用技术3,T059
C044,体育2,T050
C045,生涯规划1,T031
C046,信息技术5,T046
C047,人工智能概论3,T090
C048,体育1,T085
C049,信息技术3,T002
C050,人工智能概论1,T078
C051,社会实践4,T037
C052,创新思维2,T078
C053,音乐2,T082
C054,历史5,T033
C055,艺术鉴赏2,T081
C056,物理1,T040
C057,心理健康1,T075
C058,音乐2,T012
C059,体育3,T096
C060,通用技术2,T026
C061,化学5,T047
C062,编程入门5,T035
C063,生物3,T062
C064,体育3,T015
C065,心理健康1,T019
C066,创新思维2,T087
C067,社会实践4,T072
C068,音乐1,T051
C069,语文3,T069
C070,物理4,T048
C071,艺术鉴赏3,T075
C072,信息技术3,T014
C073,艺术鉴赏2,T061
C074,语文5,T072
C075,美术5,T029
C076,哲学基础1,T082
C077,心理健康3,T084
C078,通用技术1,T018
C079,数学1,T039
C080,生涯规划1,T013
C081,地理5,T018
C082,信息技术4,T048
C083,艺术鉴赏5,T054
C084,人工智能概论2,T054
C085,哲学基础1,T063
C086,经济学原理4,T036
C087,数学3,T028
C088,心理健康4,T031
C089,音乐1,T088
C090,音乐5,T083
C091,音乐1,T051
C092,政治2,T016
C093,心理健康1,T085
C094,历史5,T003
C095,数学3,T032
C096,化学5,T027
C097,英语5,T027
C098,人工智能概论2,T030
C099,美术2,T077
C100,语文3,T019
C101,化学5,T033
C102,生物1,T085
C103,语文2,T002
C104,音乐2,T076
C105,美术1,T023
C106,政治1,T017
C107,社会实践4,T068
C108,物理1,T061
C109,心理健康3,T066
C110,人工智能概论1,T058
C111,编程入门2,T079
C112,数学5,T039
C113,心理健康1,T008
C114,生涯规划4,T055
C115,艺术鉴赏1,T063
C116,形体与健康4,T010
C117,英语3,T078
C118,化学1,T017
C119,政治5,T082
C120,人工智能概论5,T092
C121,美术4,T077
C122,编程入门3,T059
C123,编程入门5,T056
C124,物理1,T084
C125,哲学基础5,T093
C126,历史4,T058
C127,地理4,T044
C128,心理健康4,T054
C129,社会实践1,T041
C130,通用技术3,T086
C131,政治3,T020
C132,艺术鉴赏4,T009
C133,英语1,T012
C134,通用技术1,T096
C135,社会实践3,T017
C136,数据科学基础1,T076
C137,数据科学基础5,T043
